Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
-0.146,-1.39E-06,-3.40E-06,-3.19E-06,-1.74E-06,-1.40E-06
-0.142,-1.36E-06,-3.37E-06,-3.17E-06,-1.71E-06,-1.37E-06
-0.138,-1.33E-06,-3.34E-06,-3.15E-06,-1.68E-06,-1.34E-06
-0.134,-1.30E-06,-3.31E-06,-3.14E-06,-1.65E-06,-1.31E-06
-0.13,-1.27E-06,-3.28E-06,-3.14E-06,-1.64E-06,-1.29E-06
-0.126,-1.25E-06,-3.25E-06,-3.13E-06,-1.62E-06,-1.27E-06
-0.122,-1.23E-06,-3.23E-06,-3.14E-06,-1.61E-06,-1.26E-06
-0.118,-1.22E-06,-3.21E-06,-3.16E-06,-1.59E-06,-1.24E-06
-0.114,-1.21E-06,-3.20E-06,-3.18E-06,-1.57E-06,-1.23E-06
-0.11,-1.20E-06,-3.18E-06,-3.20E-06,-1.55E-06,-1.21E-06
-0.106,-1.19E-06,-3.17E-06,-3.23E-06,-1.54E-06,-1.20E-06
-0.102,-1.19E-06,-3.16E-06,-3.26E-06,-1.52E-06,-1.19E-06
-0.098,-1.19E-06,-3.16E-06,-3.29E-06,-1.51E-06,-1.18E-06
-0.094,-1.18E-06,-3.17E-06,-3.35E-06,-1.49E-06,-1.17E-06
-0.09,-1.17E-06,-3.18E-06,-3.40E-06,-1.49E-06,-1.17E-06
-0.086,-1.16E-06,-3.20E-06,-3.46E-06,-1.48E-06,-1.16E-06
-0.082,-1.16E-06,-3.21E-06,-3.53E-06,-1.47E-06,-1.16E-06
-0.078,-1.16E-06,-3.24E-06,-3.61E-06,-1.46E-06,-1.15E-06
-0.074,-1.17E-06,-3.27E-06,-3.70E-06,-1.46E-06,-1.15E-06
-0.07,-1.17E-06,-3.30E-06,-3.82E-06,-1.44E-06,-1.15E-06
-0.066,-1.18E-06,-3.34E-06,-3.95E-06,-1.45E-06,-1.16E-06
-0.062,-1.19E-06,-3.39E-06,-4.10E-06,-1.44E-06,-1.16E-06
-0.058,-1.20E-06,-3.45E-06,-4.25E-06,-1.44E-06,-1.16E-06
-0.054,-1.22E-06,-3.52E-06,-4.41E-06,-1.44E-06,-1.17E-06
-0.05,-1.24E-06,-3.61E-06,-4.58E-06,-1.45E-06,-1.19E-06
-0.046,-1.27E-06,-3.71E-06,-4.78E-06,-1.45E-06,-1.20E-06
-0.042,-1.29E-06,-3.82E-06,-4.99E-06,-1.46E-06,-1.21E-06
-0.038,-1.31E-06,-3.95E-06,-5.22E-06,-1.46E-06,-1.22E-06
-0.034,-1.33E-06,-4.08E-06,-5.48E-06,-1.46E-06,-1.23E-06
-0.03,-1.36E-06,-4.24E-06,-5.77E-06,-1.47E-06,-1.24E-06
-0.026,-1.39E-06,-4.42E-06,-6.11E-06,-1.48E-06,-1.25E-06
-0.022,-1.43E-06,-4.64E-06,-6.48E-06,-1.49E-06,-1.27E-06
-0.018,-1.47E-06,-4.88E-06,-6.89E-06,-1.50E-06,-1.29E-06
-0.014,-1.51E-06,-5.16E-06,-7.34E-06,-1.51E-06,-1.32E-06
-0.01,-1.55E-06,-5.45E-06,-7.82E-06,-1.52E-06,-1.34E-06
-0.006,-1.59E-06,-5.77E-06,-8.33E-06,-1.53E-06,-1.38E-06
-0.002,-1.62E-06,-6.11E-06,-8.86E-06,-1.54E-06,-1.40E-06
0.002,-1.66E-06,-6.49E-06,-9.43E-06,-1.54E-06,-1.43E-06
0.006,-1.70E-06,-6.90E-06,-1.00E-05,-1.55E-06,-1.46E-06
0.01,-1.74E-06,-7.35E-06,-1.07E-05,-1.55E-06,-1.48E-06
0.014,-1.77E-06,-7.83E-06,-1.13E-05,-1.56E-06,-1.52E-06
0.018,-1.81E-06,-8.33E-06,-1.20E-05,-1.57E-06,-1.55E-06
0.022,-1.85E-06,-8.88E-06,-1.27E-05,-1.58E-06,-1.59E-06
0.026,-1.88E-06,-9.46E-06,-1.34E-05,-1.59E-06,-1.62E-06
0.03,-1.91E-06,-1.01E-05,-1.41E-05,-1.60E-06,-1.65E-06
0.034,-1.95E-06,-1.07E-05,-1.48E-05,-1.60E-06,-1.69E-06
0.038,-1.98E-06,-1.13E-05,-1.55E-05,-1.61E-06,-1.72E-06
0.042,-2.01E-06,-1.19E-05,-1.61E-05,-1.60E-06,-1.75E-06
0.046,-2.04E-06,-1.26E-05,-1.68E-05,-1.61E-06,-1.78E-06
0.05,-2.07E-06,-1.32E-05,-1.73E-05,-1.60E-06,-1.80E-06
0.054,-2.10E-06,-1.37E-05,-1.78E-05,-1.59E-06,-1.82E-06
0.058,-2.12E-06,-1.42E-05,-1.83E-05,-1.58E-06,-1.84E-06
0.062,-2.14E-06,-1.47E-05,-1.86E-05,-1.57E-06,-1.84E-06
0.066,-2.16E-06,-1.51E-05,-1.89E-05,-1.56E-06,-1.85E-06
0.07,-2.17E-06,-1.53E-05,-1.90E-05,-1.54E-06,-1.85E-06
0.074,-2.18E-06,-1.55E-05,-1.91E-05,-1.52E-06,-1.85E-06
0.078,-2.18E-06,-1.56E-05,-1.91E-05,-1.50E-06,-1.84E-06
0.082,-2.17E-06,-1.56E-05,-1.89E-05,-1.48E-06,-1.82E-06
0.086,-2.16E-06,-1.55E-05,-1.87E-05,-1.45E-06,-1.80E-06
0.09,-2.15E-06,-1.53E-05,-1.84E-05,-1.42E-06,-1.77E-06
0.094,-2.12E-06,-1.50E-05,-1.79E-05,-1.40E-06,-1.74E-06
0.098,-2.10E-06,-1.46E-05,-1.74E-05,-1.37E-06,-1.71E-06
0.102,-2.07E-06,-1.41E-05,-1.68E-05,-1.33E-06,-1.67E-06
0.106,-2.04E-06,-1.35E-05,-1.62E-05,-1.31E-06,-1.63E-06
0.11,-1.99E-06,-1.29E-05,-1.55E-05,-1.28E-06,-1.59E-06
0.114,-1.95E-06,-1.23E-05,-1.48E-05,-1.25E-06,-1.55E-06
0.118,-1.90E-06,-1.16E-05,-1.40E-05,-1.22E-06,-1.50E-06
0.122,-1.85E-06,-1.09E-05,-1.32E-05,-1.19E-06,-1.46E-06
0.126,-1.80E-06,-1.01E-05,-1.25E-05,-1.17E-06,-1.42E-06
0.13,-1.74E-06,-9.44E-06,-1.17E-05,-1.15E-06,-1.37E-06
0.134,-1.69E-06,-8.76E-06,-1.10E-05,-1.13E-06,-1.33E-06
0.138,-1.63E-06,-8.10E-06,-1.02E-05,-1.11E-06,-1.29E-06
0.142,-1.58E-06,-7.48E-06,-9.56E-06,-1.09E-06,-1.24E-06
0.146,-1.52E-06,-6.89E-06,-8.91E-06,-1.08E-06,-1.20E-06
0.15,-1.48E-06,-6.34E-06,-8.31E-06,-1.06E-06,-1.17E-06
0.154,-1.42E-06,-5.84E-06,-7.74E-06,-1.04E-06,-1.13E-06
0.158,-1.38E-06,-5.39E-06,-7.20E-06,-1.03E-06,-1.11E-06
0.162,-1.33E-06,-4.98E-06,-6.71E-06,-1.02E-06,-1.08E-06
0.166,-1.30E-06,-4.60E-06,-6.25E-06,-1.02E-06,-1.06E-06
0.17,-1.26E-06,-4.26E-06,-5.83E-06,-1.02E-06,-1.03E-06
0.174,-1.23E-06,-3.95E-06,-5.45E-06,-1.02E-06,-1.01E-06
0.178,-1.19E-06,-3.67E-06,-5.11E-06,-1.01E-06,-9.77E-07
0.182,-1.16E-06,-3.43E-06,-4.81E-06,-1.01E-06,-9.56E-07
0.186,-1.12E-06,-3.22E-06,-4.54E-06,-1.00E-06,-9.38E-07
0.19,-1.10E-06,-3.03E-06,-4.29E-06,-1.00E-06,-9.22E-07
0.194,-1.07E-06,-2.86E-06,-4.07E-06,-9.98E-07,-9.05E-07
0.198,-1.05E-06,-2.71E-06,-3.86E-06,-9.94E-07,-8.93E-07
0.202,-1.03E-06,-2.58E-06,-3.69E-06,-9.87E-07,-8.78E-07
0.206,-1.00E-06,-2.47E-06,-3.53E-06,-9.83E-07,-8.66E-07
0.21,-9.79E-07,-2.36E-06,-3.38E-06,-9.79E-07,-8.53E-07
0.214,-9.59E-07,-2.26E-06,-3.26E-06,-9.76E-07,-8.40E-07
0.218,-9.42E-07,-2.18E-06,-3.14E-06,-9.76E-07,-8.31E-07
0.222,-9.29E-07,-2.10E-06,-3.05E-06,-9.74E-07,-8.25E-07
0.226,-9.16E-07,-2.04E-06,-2.97E-06,-9.75E-07,-8.18E-07
0.23,-9.04E-07,-2.00E-06,-2.90E-06,-9.74E-07,-8.09E-07
0.234,-8.92E-07,-1.95E-06,-2.84E-06,-9.71E-07,-7.97E-07
0.238,-8.79E-07,-1.91E-06,-2.79E-06,-9.69E-07,-7.85E-07
0.242,-8.63E-07,-1.87E-06,-2.74E-06,-9.69E-07,-7.79E-07
0.246,-8.54E-07,-1.83E-06,-2.70E-06,-9.61E-07,-7.74E-07
0.25,-8.48E-07,-1.79E-06,-2.66E-06,-9.60E-07,-7.72E-07
0.254,-8.45E-07,-1.77E-06,-2.63E-06,-9.54E-07,-7.69E-07
0.258,-8.41E-07,-1.75E-06,-2.60E-06,-9.56E-07,-7.64E-07
0.262,-8.37E-07,-1.73E-06,-2.58E-06,-9.59E-07,-7.64E-07
0.266,-8.26E-07,-1.71E-06,-2.57E-06,-9.58E-07,-7.65E-07
0.27,-8.23E-07,-1.69E-06,-2.56E-06,-9.57E-07,-7.62E-07
0.274,-8.17E-07,-1.68E-06,-2.55E-06,-9.55E-07,-7.60E-07
0.278,-8.14E-07,-1.67E-06,-2.53E-06,-9.57E-07,-7.49E-07
0.282,-8.15E-07,-1.66E-06,-2.53E-06,-9.61E-07,-7.41E-07
0.286,-8.13E-07,-1.64E-06,-2.53E-06,-9.63E-07,-7.40E-07
0.29,-8.07E-07,-1.63E-06,-2.53E-06,-9.63E-07,-7.37E-07
0.294,-8.06E-07,-1.62E-06,-2.52E-06,-9.60E-07,-7.36E-07
0.298,-8.01E-07,-1.61E-06,-2.52E-06,-9.60E-07,-7.37E-07
0.302,-7.96E-07,-1.60E-06,-2.50E-06,-9.64E-07,-7.28E-07
0.306,-7.92E-07,-1.59E-06,-2.49E-06,-9.65E-07,-7.16E-07
0.31,-7.90E-07,-1.58E-06,-2.48E-06,-9.69E-07,-7.07E-07
0.314,-7.88E-07,-1.57E-06,-2.47E-06,-9.71E-07,-6.97E-07
0.318,-7.84E-07,-1.55E-06,-2.46E-06,-9.75E-07,-6.96E-07
0.322,-7.79E-07,-1.55E-06,-2.45E-06,-9.84E-07,-6.99E-07
0.326,-7.72E-07,-1.54E-06,-2.43E-06,-9.94E-07,-6.91E-07
0.33,-7.69E-07,-1.52E-06,-2.42E-06,-1.00E-06,-6.80E-07
0.334,-7.69E-07,-1.51E-06,-2.40E-06,-1.00E-06,-6.72E-07
0.338,-7.70E-07,-1.50E-06,-2.39E-06,-1.01E-06,-6.63E-07
0.342,-7.67E-07,-1.49E-06,-2.37E-06,-1.01E-06,-6.55E-07
0.346,-7.63E-07,-1.48E-06,-2.34E-06,-1.02E-06,-6.48E-07
0.35,-7.57E-07,-1.47E-06,-2.32E-06,-1.02E-06,-6.43E-07
