June 8, 2022   17:32:36
Differential Pulse Voltammetry
File: e:\100fm_bead_fe3+_spge25.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.070V
ip = -8.614e-7A
Ap = -1.125e-7VA

Potential/V, Current/A

-0.146, -1.395e-6
-0.142, -1.365e-6
-0.138, -1.337e-6
-0.134, -1.312e-6
-0.130, -1.287e-6
-0.126, -1.269e-6
-0.122, -1.257e-6
-0.118, -1.241e-6
-0.114, -1.225e-6
-0.110, -1.213e-6
-0.106, -1.199e-6
-0.102, -1.186e-6
-0.098, -1.177e-6
-0.094, -1.170e-6
-0.090, -1.165e-6
-0.086, -1.161e-6
-0.082, -1.155e-6
-0.078, -1.150e-6
-0.074, -1.149e-6
-0.070, -1.153e-6
-0.066, -1.158e-6
-0.062, -1.158e-6
-0.058, -1.163e-6
-0.054, -1.174e-6
-0.050, -1.188e-6
-0.046, -1.203e-6
-0.042, -1.213e-6
-0.038, -1.218e-6
-0.034, -1.226e-6
-0.030, -1.236e-6
-0.026, -1.253e-6
-0.022, -1.272e-6
-0.018, -1.293e-6
-0.014, -1.316e-6
-0.010, -1.343e-6
-0.006, -1.376e-6
-0.002, -1.403e-6
0.002, -1.430e-6
0.006, -1.456e-6
0.010, -1.484e-6
0.014, -1.518e-6
0.018, -1.553e-6
0.022, -1.587e-6
0.026, -1.616e-6
0.030, -1.649e-6
0.034, -1.686e-6
0.038, -1.721e-6
0.042, -1.751e-6
0.046, -1.779e-6
0.050, -1.803e-6
0.054, -1.821e-6
0.058, -1.837e-6
0.062, -1.844e-6
0.066, -1.848e-6
0.070, -1.849e-6
0.074, -1.847e-6
0.078, -1.836e-6
0.082, -1.823e-6
0.086, -1.798e-6
0.090, -1.772e-6
0.094, -1.743e-6
0.098, -1.706e-6
0.102, -1.671e-6
0.106, -1.631e-6
0.110, -1.590e-6
0.114, -1.548e-6
0.118, -1.503e-6
0.122, -1.460e-6
0.126, -1.417e-6
0.130, -1.371e-6
0.134, -1.331e-6
0.138, -1.285e-6
0.142, -1.239e-6
0.146, -1.200e-6
0.150, -1.166e-6
0.154, -1.132e-6
0.158, -1.107e-6
0.162, -1.081e-6
0.166, -1.056e-6
0.170, -1.031e-6
0.174, -1.007e-6
0.178, -9.771e-7
0.182, -9.562e-7
0.186, -9.377e-7
0.190, -9.216e-7
0.194, -9.051e-7
0.198, -8.930e-7
0.202, -8.781e-7
0.206, -8.658e-7
0.210, -8.532e-7
0.214, -8.401e-7
0.218, -8.306e-7
0.222, -8.252e-7
0.226, -8.175e-7
0.230, -8.086e-7
0.234, -7.965e-7
0.238, -7.848e-7
0.242, -7.789e-7
0.246, -7.739e-7
0.250, -7.723e-7
0.254, -7.690e-7
0.258, -7.642e-7
0.262, -7.636e-7
0.266, -7.650e-7
0.270, -7.617e-7
0.274, -7.595e-7
0.278, -7.494e-7
0.282, -7.409e-7
0.286, -7.395e-7
0.290, -7.371e-7
0.294, -7.362e-7
0.298, -7.369e-7
0.302, -7.278e-7
0.306, -7.159e-7
0.310, -7.066e-7
0.314, -6.968e-7
0.318, -6.958e-7
0.322, -6.990e-7
0.326, -6.906e-7
0.330, -6.801e-7
0.334, -6.716e-7
0.338, -6.626e-7
0.342, -6.548e-7
0.346, -6.483e-7
0.350, -6.429e-7
