June 8, 2022   16:37:48
Differential Pulse Voltammetry
File: e:\100pm_bead_fe3+_spge10.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.078V
ip = -2.410e-5A
Ap = -3.260e-6VA

Potential/V, Current/A

-0.146, -2.912e-6
-0.142, -2.885e-6
-0.138, -2.859e-6
-0.134, -2.835e-6
-0.130, -2.808e-6
-0.126, -2.793e-6
-0.122, -2.779e-6
-0.118, -2.778e-6
-0.114, -2.785e-6
-0.110, -2.793e-6
-0.106, -2.804e-6
-0.102, -2.820e-6
-0.098, -2.844e-6
-0.094, -2.866e-6
-0.090, -2.897e-6
-0.086, -2.935e-6
-0.082, -2.989e-6
-0.078, -3.057e-6
-0.074, -3.142e-6
-0.070, -3.233e-6
-0.066, -3.349e-6
-0.062, -3.487e-6
-0.058, -3.650e-6
-0.054, -3.837e-6
-0.050, -4.043e-6
-0.046, -4.265e-6
-0.042, -4.517e-6
-0.038, -4.792e-6
-0.034, -5.107e-6
-0.030, -5.468e-6
-0.026, -5.882e-6
-0.022, -6.343e-6
-0.018, -6.856e-6
-0.014, -7.421e-6
-0.010, -8.045e-6
-0.006, -8.731e-6
-0.002, -9.487e-6
0.002, -1.030e-5
0.006, -1.119e-5
0.010, -1.213e-5
0.014, -1.314e-5
0.018, -1.420e-5
0.022, -1.530e-5
0.026, -1.641e-5
0.030, -1.753e-5
0.034, -1.865e-5
0.038, -1.975e-5
0.042, -2.082e-5
0.046, -2.183e-5
0.050, -2.277e-5
0.054, -2.365e-5
0.058, -2.445e-5
0.062, -2.515e-5
0.066, -2.573e-5
0.070, -2.618e-5
0.074, -2.645e-5
0.078, -2.658e-5
0.082, -2.656e-5
0.086, -2.639e-5
0.090, -2.608e-5
0.094, -2.564e-5
0.098, -2.502e-5
0.102, -2.427e-5
0.106, -2.341e-5
0.110, -2.247e-5
0.114, -2.147e-5
0.118, -2.043e-5
0.122, -1.936e-5
0.126, -1.829e-5
0.130, -1.722e-5
0.134, -1.617e-5
0.138, -1.514e-5
0.142, -1.416e-5
0.146, -1.323e-5
0.150, -1.235e-5
0.154, -1.152e-5
0.158, -1.076e-5
0.162, -1.006e-5
0.166, -9.409e-6
0.170, -8.811e-6
0.174, -8.255e-6
0.178, -7.736e-6
0.182, -7.258e-6
0.186, -6.820e-6
0.190, -6.406e-6
0.194, -6.027e-6
0.198, -5.681e-6
0.202, -5.355e-6
0.206, -5.052e-6
0.210, -4.774e-6
0.214, -4.517e-6
0.218, -4.287e-6
0.222, -4.084e-6
0.226, -3.887e-6
0.230, -3.711e-6
0.234, -3.541e-6
0.238, -3.387e-6
0.242, -3.247e-6
0.246, -3.120e-6
0.250, -3.005e-6
0.254, -2.906e-6
0.258, -2.814e-6
0.262, -2.730e-6
0.266, -2.651e-6
0.270, -2.584e-6
0.274, -2.525e-6
0.278, -2.471e-6
0.282, -2.417e-6
0.286, -2.361e-6
0.290, -2.313e-6
0.294, -2.274e-6
0.298, -2.234e-6
0.302, -2.203e-6
0.306, -2.177e-6
0.310, -2.158e-6
0.314, -2.141e-6
0.318, -2.129e-6
0.322, -2.111e-6
0.326, -2.094e-6
0.330, -2.079e-6
0.334, -2.063e-6
0.338, -2.044e-6
0.342, -2.029e-6
0.346, -2.016e-6
0.350, -2.007e-6
