June 8, 2022   16:58:33
Differential Pulse Voltammetry
File: e:\10pm_bead_fe3+_spge15.1.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.114V
ip = -1.087e-5A
Ap = -1.506e-6VA

Potential/V, Current/A

-0.146, -1.959e-6
-0.142, -1.905e-6
-0.138, -1.855e-6
-0.134, -1.808e-6
-0.130, -1.768e-6
-0.126, -1.724e-6
-0.122, -1.689e-6
-0.118, -1.668e-6
-0.114, -1.650e-6
-0.110, -1.641e-6
-0.106, -1.635e-6
-0.102, -1.631e-6
-0.098, -1.633e-6
-0.094, -1.645e-6
-0.090, -1.661e-6
-0.086, -1.686e-6
-0.082, -1.711e-6
-0.078, -1.748e-6
-0.074, -1.786e-6
-0.070, -1.825e-6
-0.066, -1.876e-6
-0.062, -1.934e-6
-0.058, -1.995e-6
-0.054, -2.070e-6
-0.050, -2.153e-6
-0.046, -2.238e-6
-0.042, -2.337e-6
-0.038, -2.445e-6
-0.034, -2.567e-6
-0.030, -2.702e-6
-0.026, -2.849e-6
-0.022, -3.003e-6
-0.018, -3.181e-6
-0.014, -3.381e-6
-0.010, -3.609e-6
-0.006, -3.858e-6
-0.002, -4.128e-6
0.002, -4.402e-6
0.006, -4.690e-6
0.010, -4.976e-6
0.014, -5.252e-6
0.018, -5.519e-6
0.022, -5.793e-6
0.026, -6.067e-6
0.030, -6.350e-6
0.034, -6.635e-6
0.038, -6.913e-6
0.042, -7.200e-6
0.046, -7.511e-6
0.050, -7.851e-6
0.054, -8.220e-6
0.058, -8.605e-6
0.062, -9.001e-6
0.066, -9.395e-6
0.070, -9.794e-6
0.074, -1.019e-5
0.078, -1.058e-5
0.082, -1.097e-5
0.086, -1.134e-5
0.090, -1.170e-5
0.094, -1.204e-5
0.098, -1.234e-5
0.102, -1.259e-5
0.106, -1.278e-5
0.110, -1.291e-5
0.114, -1.296e-5
0.118, -1.294e-5
0.122, -1.284e-5
0.126, -1.265e-5
0.130, -1.240e-5
0.134, -1.209e-5
0.138, -1.171e-5
0.142, -1.127e-5
0.146, -1.079e-5
0.150, -1.027e-5
0.154, -9.747e-6
0.158, -9.216e-6
0.162, -8.687e-6
0.166, -8.157e-6
0.170, -7.642e-6
0.174, -7.151e-6
0.178, -6.690e-6
0.182, -6.256e-6
0.186, -5.847e-6
0.190, -5.468e-6
0.194, -5.128e-6
0.198, -4.821e-6
0.202, -4.547e-6
0.206, -4.301e-6
0.210, -4.075e-6
0.214, -3.874e-6
0.218, -3.691e-6
0.222, -3.525e-6
0.226, -3.379e-6
0.230, -3.249e-6
0.234, -3.137e-6
0.238, -3.037e-6
0.242, -2.945e-6
0.246, -2.869e-6
0.250, -2.797e-6
0.254, -2.737e-6
0.258, -2.690e-6
0.262, -2.647e-6
0.266, -2.612e-6
0.270, -2.590e-6
0.274, -2.570e-6
0.278, -2.551e-6
0.282, -2.540e-6
0.286, -2.523e-6
0.290, -2.509e-6
0.294, -2.504e-6
0.298, -2.497e-6
0.302, -2.497e-6
0.306, -2.496e-6
0.310, -2.496e-6
0.314, -2.501e-6
0.318, -2.512e-6
0.322, -2.518e-6
0.326, -2.531e-6
0.330, -2.538e-6
0.334, -2.552e-6
0.338, -2.567e-6
0.342, -2.585e-6
0.346, -2.604e-6
0.350, -2.626e-6
