,Cycle,A5,B5,C5,D5,E5,F5,H5
,1,59.9329064757262,30.2360779849851,-26.9529309369582,12.9523196966106,11.7798632779432,16.4113288915241,9.82305873462929
,2,68.3704479536441,1.78864191395496,-34.9754084650799,5.83333639057173,5.68529647071819,12.4753941624472,-0.953332566805784
,3,102.319365167506,-5.4458116142805,-11.2976629603245,8.90114988835921,0.942970118276662,10.051920263048,0.00708922604599138
,4,136.42582022335,-12.2471580103793,-5.34999681076806,10.2587267207905,0.329061918951993,10.8618739903359,0.469291496963706
,5,150.475220555277,-4.19556353379085,-2.31995100404811,3.17973754181821,1.94872816964698,7.76825459594284,-0.358316830017429
,6,180.205732830123,-0.717931540507379,3.54967782440281,9.08518312830893,-1.17627470287971,-0.267809757349369,0.129735303517009
,7,214.167574975293,9.30410529399705,8.65649183904588,1.54577375481358,-2.04087779625615,5.15488124716649,0.393917872129805
,8,228.046024800673,5.98614981875107,4.56221796207865,4.44263674605372,3.18069855672047,6.75398738413423,-0.656340686630756
,9,243.436691589102,7.53089491489936,6.00298495115658,4.46089805501015,0.10763927605467,-0.953588620629034,0.369925095903454
,10,264.834578260629,5.27880663770065,5.98454431234904,1.85041878375569,-0.624401036594008,-0.0252156726473913,-5.34558629084631
,11,276.676257227176,11.4375125999095,5.58436395777926,-2.95500297673971,-0.450132253337415,-1.06816057747938,2.13461182010315
,12,292.38066284707,9.03712021961655,6.95592978662808,-3.4515815138252,-1.97346151797819,4.35350900763115,0.4646089923408
,13,299.97814486293,11.8325899936463,8.4367856957997,-1.73781865977298,-0.313170373416142,-2.49843696176731,2.59648358705272
,14,309.165820089975,5.91306532604085,3.33192851051444,-7.54211697181063,-3.18845381840538,-2.3986228565409,2.1905206606707
,15,322.005328941784,12.2798439009694,7.42561979735956,-5.78961675585197,0.639037165713944,-7.38576634603078,0.245598069840526
,16,335.017877505872,9.29178133968617,7.56497134356823,-1.90714816445461,-0.619510678637198,-5.48460973126339,0.247785251759979
,17,342.051065304861,12.8886104096136,5.99604028828981,-8.38120817192021,0.488422967179304,-6.38304136433908,0.393609638861108
,18,347.531725404005,11.6601064526603,9.55137772352646,-9.6256884548111,1.00434898986305,-7.01946048892478,-3.69205798490793
,19,360.18759609535,8.82774089364921,11.5824390252337,-8.56942665175302,0.0471768636766683,-8.24691293583783,0.644781286243415
,20,371.214025700947,10.175441754006,7.02896428688518,-8.6431030617241,-2.13089189055927,-9.59249633746504,-1.11464142806472
,21,373.830226891014,8.13339647883731,5.83962968807509,-8.0476094432147,1.26266021551828,-12.068889295238,1.62088555331138
,22,384.634092085674,3.97576497181581,7.09663514002477,-4.69067230907285,3.19852176232189,-9.22152881427837,-2.76701555393038
,23,392.019750974222,6.47919301442653,1.59611238265825,-12.8879316611469,-1.97778746777158,-11.3700660963377,-2.43861219058954
,24,401.641021066661,6.76217217494832,3.91699403383063,-4.93181159597771,1.02216389997966,-6.90625867490735,1.28262370300263
,25,410.78870216664,8.12304183324159,5.06707200179017,-2.33758709065023,9.5420364028123,4.35191688191026,-1.21400782912542
,26,423.287598474849,6.14537734798432,3.41829267497087,4.33091717627667,12.988751433893,6.23976110696958,-1.72483340574263
,27,414.573512240263,1.40811809512979,3.43853655329758,9.50134874460355,20.1151700217329,2.88227802058827,2.36415336355958
,28,432.435279574828,0.600525693200325,-5.55696882236043,11.7009970450908,25.1128768097878,11.9329728566299,1.905027512174
,29,438.875065632442,-2.019971224664,-1.26540094664233,7.60474059875287,25.9175407881862,14.6487442852945,1.3671327397974
,30,439.678219237849,-1.34122056322394,-1.67740553962039,8.96392721914845,30.6132483645197,11.2660519408887,2.46013529774291
,31,442.567937987137,-9.61574122475577,-1.55242607200353,13.6072164151906,25.6347075747999,10.3273290708185,-3.51931674119442
